"X","Name","Artist","RiaaStatus","Label"
32,"I'm the One ","Dj Khaled","7x Multi-Platinum","We the Best / Epic"
33,"Right where i Need to be","Gary Allan","Gold","Mca Nashville"
34,"i Love College","Asher Roth","2x Multi-Platinum","Motown Records"
35,"Every Storm (Runs Out of Rain)","Gary Allan","2x Multi-Platinum","Mca Nashville"
36,"Nothing on but the Radio","Gary Allan","Gold","Mca Nashville"
37,"Songs About the Rain","Gary Allan","Gold","Mca Nashville"
38,"Best i Ever Had","Gary Allan","1x Platinum","Mca Nashville"
39,"Life Ain't Always Beautiful","Gary Allan","Gold","Mca Nashville"
40,"Self Care","Mac Miller","1x Platinum","Warner Records"
41,"On My Way to you","Cody Johnson","Gold","Cojo Music / Warner Music Nashville"
42,"Do you Mind","Dj Khaled","2x Multi-Platinum","We the Best / Epic"
43,"Through the Fire and Flames","Dragonforce","1x Platinum","Roadrunner"
44,"King of Everything","Wiz Khalifa","Gold","Atlantic Records"
45,"Bulletproof","Godsmack","Gold","Bmg Rights Management U.s."
46,"Stereo Hearts","Gym Class Heroes","5x Multi-Platinum","Fueled by Ramen"
47,"Jump Out the Window","Big Sean","1x Platinum","Def Jam"
48,"With Arms Wide Open","Creed","Gold","Wind-Up Records"
49,"Higher","Creed","Gold","Wind-Up Records"
50,"Say Amen (Saturday Night)","Panic! at the Disco","1x Platinum","Fueled by Ramen"
51,"i Get the Bag ","Gucci Mane","4x Multi-Platinum","Atlantic Records"
52,"Lemonade","Gucci Mane","1x Platinum","Atlantic Records"
53,"both ","Gucci Mane","3x Multi-Platinum","Atlantic Records"
54,"Wasted","Gucci Mane","1x Platinum","Warner Bros. Records"
55,"Bad for you ","Meek Mill","Gold","Atlantic Records"
56,"Jump Out the Face ","Meek Mill","Gold","Atlantic Records"
57,"Fall Thru","Meek Mill","Gold","Atlantic Records"
58,"Dangerous ","Meek Mill","1x Platinum","Atlantic Records"
59,"Burn ","Meek Mill","Gold","Atlantic Records"
60,"24/7","Meek Mill","Gold","Atlantic Records"
61,"On Me ","Meek Mill","Gold","Atlantic Records"
62,"1942 Flows","Meek Mill","Gold","Atlantic Records"
63,"Levels","Meek Mill","Gold","Atlantic Records"
64,"R.i.c.o.","Meek Mill","2x Multi-Platinum","Maybach Music Group / Atlantic Records"
65,"Litty ","Meek Mill","1x Platinum","Maybach Music Group / Atlantic Records"
66,"Uptown Vibes ","Meek Mill","Gold","Atlantic Records"
67,"Whatever you Need ","Meek Mill","Gold","Atlantic Records"
68,"Monster","Meek Mill","Gold","Atlantic Records"
69,"I'm a Boss ","Meek Mill","1x Platinum","Maybach Music Group / Atlantic Records"
70,"Beware","Big Sean","2x Multi-Platinum","G.o.o.d Music / Def Jam Recordings"
71,"Summertime Magic","Childish Gambino","Gold","Wolf+rothstein / Rca Records"
72,"Dance (A$$)","Big Sean","4x Multi-Platinum","Getting Out Our Dreams / Def Jam"
73,"Feels Like Summer","Childish Gambino","Gold","Wolf+rothstein / Rca Records"
74,"My Last","Big Sean","1x Platinum","Def Jam"
75,"i Don't F**k with you","Big Sean","5x Multi-Platinum","Def Jam"
76,"Jumpsuit","Twenty One Pilots","Gold","Fueled by Ramen"
77,"Na Na","Trey Songz","2x Multi-Platinum","Atlantic Records"
78,"No Stylist ","French Montana","1x Platinum","Epic"
79,"Springsteen","Eric Church","5x Multi-Platinum","Emi Records Nashville"
80,"Bring Me to Life","Evanescence","3x Multi-Platinum","Wind-Up Records"
81,"Guys Like Me","Eric Church","1x Platinum","Capitol Records Nashville"
82,"Sinners Like Me","Eric Church","Gold","Capitol Records Nashville"
83,"Like a Wrecking Ball","Eric Church","2x Multi-Platinum","Emi Records Nashville"
84,"over when It's over","Eric Church","Gold","Emi Records Nashville"
85,"Smoke a Little Smoke","Eric Church","2x Multi-Platinum","Emi Records Nashville"
86,"Record Year","Eric Church","2x Multi-Platinum","Emi Records Nashville"
87,"She's with Me","High Valley","Gold","Atlantic / Warner Bros"
88,"Wake Up in the Sky ","Gucci Mane","3x Multi-Platinum","Atlantic Records"
89,"Love so Soft","Kelly Clarkson","1x Platinum","Atlantic Records"
90,"My Blood","Twenty One Pilots","Gold","Fueled by Ramen"
91,"Have it all","Jason Mraz","Gold","Atlantic Records"
92,"Feel Invincible","Skillet","1x Platinum","Atlantic Records"
93,"Me Too","Kevin Gates","Gold","Bread Winners Association / Atlantic Records"
94,"Drowns the Whiskey ","Jason Aldean","Gold","Broken Bow Records"
95,"Get Up! ","Korn","Gold","Roadrunner"
96,"this is America","Childish Gambino","3x Multi-Platinum","Rca"
97,"Get along","Kenny Chesney","1x Platinum","Blue Chair Records / Warner Bros Nashville"
98,"Going Bad ","Meek Mill","2x Multi-Platinum","Mmg / Atlantic Records"
99,"State of My Head","Shinedown","Gold","Atlantic Records"
100,"Cut the Cord","Shinedown","1x Platinum","Atlantic Records"
101,"Nobody Else but you","Trey Songz","1x Platinum","Atlantic Records"
102,"The Last of the Real Ones","Fall Out Boy","Gold","Island Records"
103,"Blue Ain't your Color","Keith Urban","4x Multi-Platinum","Capitol Records Nashville"
104,"Death of a Bachelor","Panic! at the Disco","2x Multi-Platinum","Fueled by Ramen"
105,"The Only Exception","Paramore","2x Multi-Platinum","Fueled by Ramen"
106,"La Devotee","Panic! at the Disco","1x Platinum","Atlantic Records"
107,"Decode","Paramore","2x Multi-Platinum","Atlantic"
108,"Nicotine","Panic! at the Disco","Gold","Fueled by Ramen"
109,"Don't Threaten Me with a Good Time","Panic! at the Disco","1x Platinum","Fueled by Ramen"
110,"Crazy=genius","Panic! at the Disco","Gold","Fueled by Ramen"
111,"Misery Business","Paramore","4x Multi-Platinum","Fueled by Ramen / Atlantic"
112,"Ain't it Fun","Paramore","3x Multi-Platinum","Fueled by Ramen"
113,"Hallelujah","Panic! at the Disco","1x Platinum","Fueled by Ramen"
114,"House of Memories","Panic! at the Disco","Gold","Fueled by Ramen"
115,"The Only Difference Between Martyrdom and Suicide is Press Coverage","Panic! at the Disco","1x Platinum","Fueled by Ramen"
116,"Locked Out of Heaven","Bruno Mars","7x Multi-Platinum","Atlantic Records"
117,"Treasure","Bruno Mars","4x Multi-Platinum","Elektra"
118,"Soundtrack 2 My Life","Kid Cudi","2x Multi-Platinum","Republic Records"
119,"Erase Me","Kid Cudi","2x Multi-Platinum","Republic Records"
120,"Pursuit of Happiness (Nightmare)","Kid Cudi","5x Multi-Platinum","Republic Records"
121,"The Lazy Song","Bruno Mars","6x Multi-Platinum","Elektra"
122,"Day 'n' Nite (Nightmare)","Kid Cudi","5x Multi-Platinum","Republic Records"
123,"it will Rain","Bruno Mars","5x Multi-Platinum","Elektra"
124,"Violent Crimes","Kanye West","Gold","Def Jam"
125,"Win","Jay Rock","Gold","Tde/Interscope"
126,"Africa","Weezer","Gold","Atlantic Records"
127,"Light it Up","Luke Bryan","1x Platinum","Capitol Records Nashville"
128,"Drunk on you","Luke Bryan","5x Multi-Platinum","Capitol Records Nashville"
129,"Sunrise, Sunburn, Sunset","Luke Bryan","Gold","Capitol Records Nashville"
130,"Fr Fr ","Wiz Khalifa","Gold","Atlantic Records"
131,"Most People are Good","Luke Bryan","1x Platinum","Capitol Records Nashville"
132,"Perfect","Ed Sheeran","8x Multi-Platinum","Atlantic Records"
133,"One more Light","Linkin Park","Gold","Warner Bros. Records"
134,"some Nights","Fun","7x Multi-Platinum","Fueled by Ramen"
135,"Fake you Out","Twenty One Pilots","Gold","Fueled by Ramen"
136,"i Won't Give Up","Jason Mraz","6x Multi-Platinum","Atlantic Records"
137,"this is it","Scotty Mccreery","Gold","Triple Tigers"
138,"Feel it Still","Portugal the Man","4x Multi-Platinum","Atlantic Records"
139,"i Took a Pill in Ibiza","Mike Posner","5x Multi-Platinum","Island Records"
140,"Lonely No more","Rob Thomas","1x Platinum","Atlantic"
141,"Someday","Rob Thomas","Gold","Atlantic Records"
142,"Streetcorner Symphony","Rob Thomas","Gold","Atlantic Records"
143,"Her Diamonds","Rob Thomas","1x Platinum","Atlantic"
144,"Tin Man","Miranda Lambert","1x Platinum","Vanner Records / Rca Nashville"
145,"Tenerife Sea","Ed Sheeran","1x Platinum","Atlantic Records"
146,"you Need Me, i Don't Need you","Ed Sheeran","Gold","Atlantic Records"
147,"Thinking Out Loud","Ed Sheeran","12x Diamond","Atlantic Records"
148,"Migraine","Twenty One Pilots","1x Platinum","Fueled by Ramen"
149,"Cancer","Twenty One Pilots","Gold","Fueled by Ramen"
150,"Semi-Automatic","Twenty One Pilots","Gold","Fueled by Ramen"
151,"My Immortal","Evanescence","1x Platinum","Wind-Up Records"
152,"Peace","Oa.r.","Gold","Vanguard Records"
153,"We are the Champions","Queen","3x Multi-Platinum","Hollywood Records"
154,"Broken","Seether","1x Platinum","Wind-Up Records"
155,"Words as Weapons","Seether","Gold","the Bicycle Music Company"
156,"Run","Matt Nathanson","Gold","Vanguard Records"
157,"Rake it Up ","Yo Gotti","3x Multi-Platinum","Epic"
158,"Slide","Calvin Harris","3x Multi-Platinum","Columbia"
159,"Faster","Matt Nathanson","Gold","Vanguard Records"
160,"i See the Light (from ""Tangled"")","Mandy Moore","1x Platinum","Walt Disney Records"
161,"Remedy","Seether","Gold","the Bicycle Music Company"
162,"Loyal","Chris Brown","4x Multi-Platinum","Rca Records"
163,"2 Phones","Kevin Gates","4x Multi-Platinum","Bread Winners Association / Atlantic Records"
164,"Posed to be in Love","Kevin Gates","Gold","Bread Winners Association / Atlantic Records"
165,"Satellites","Kevin Gates","Gold","Bread Winners Association / Atlantic Records"
166,"Time for that","Kevin Gates","1x Platinum","Bread Winners Association / Atlantic Records"
167,"Pride","Kevin Gates","Gold","Bread Winners Association / Atlantic Records"
168,"Really Really","Kevin Gates","3x Multi-Platinum","Bread Winners Association / Atlantic Records"
169,"i Don't Get Tired (#idgt)","Kevin Gates","2x Multi-Platinum","Bread Winners Association / Atlantic Records"
170,"Sure Thing","Miguel","3x Multi-Platinum","Bystorm/Rca"
171,"Met Gala ","Gucci Mane","1x Platinum","Atlantic Records"
172,"Come Through and Chill ","Miguel","Gold","Bystorm/Rca"
173,"How many Drinks?","Miguel","1x Platinum","Bystorm/Rca"
174,"Waves","Miguel","Gold","Bystorm/Rca"
175,"Shape of you","Ed Sheeran","10x Diamond","Atlantic Records"
176,"Coffee","Miguel","1x Platinum","Bystorm/Rca"
177,"The Champion","Carrie Underwood","1x Platinum","Capitol Records Nashville"
178,"Adorn","Miguel","3x Multi-Platinum","Bystorm/Rca"
179,"Sky Walker ","Miguel","2x Multi-Platinum","Bystorm/Rca"
180,"In My Head","Jason Derulo","4x Multi-Platinum","Warner Bros."
181,"Hearts Don't Break Around Here","Ed Sheeran","Gold","Atlantic Records"
182,"The Run and Go","Twenty One Pilots","Gold","Fueled by Ramen"
183,"Ride","Twenty One Pilots","5x Multi-Platinum","Fueled by Ramen"
184,"Screen","Twenty One Pilots","Gold","Fueled by Ramen"
185,"The Judge","Twenty One Pilots","1x Platinum","Fueled by Ramen"
186,"Trees","Twenty One Pilots","Gold","Fueled by Ramen"
187,"Curve ","Gucci Mane","Gold","Atlantic Records"
188,"1st Day Out Tha Feds","Gucci Mane","Gold","Atlantic Records"
189,"Somewhere Only We Know","Keane","2x Multi-Platinum","Interscope"
190,"Tone it Down ","Gucci Mane","Gold","Atlantic Records"
191,"Just the Way you are","Bruno Mars","10x Diamond","Elektra"
192,"Rx (Medicate)","Theory of a Deadman","1x Platinum","Roadrunner / Atlantic"
193,"El Clavo","Prince Royce","6x Multi-Platinum","Sony Latin"
194,"Malibu","Miley Cyrus","2x Multi-Platinum","Rca"
195,"Blah Blah Blah","Kesha","2x Multi-Platinum","Rca"
196,"We r Who We r","Kesha","5x Multi-Platinum","Rca"
197,"Praying","Kesha","2x Multi-Platinum","Rca"
198,"your Love is My Drug","Kesha","4x Multi-Platinum","Rca"
199,"Blow","Kesha","4x Multi-Platinum","Rca"
200,"Crazy Kids","Kesha","1x Platinum","Rca"
201,"Take it Off","Kesha","3x Multi-Platinum","Rca"
202,"Outside ","Calvin Harris","2x Multi-Platinum","Columbia"
203,"Dinosaur","Kesha","Gold","Rca"
204,"Die Young","Kesha","4x Multi-Platinum","Rca"
205,"Tik-Tok","Kesha","8x Multi-Platinum","Rca"
206,"Woman","Kesha","Gold","Rca"
207,"C'mon","Kesha","1x Platinum","Rca"
208,"Sleazy","Kesha","Gold","Rca"
209,"Dark Horse","Katy Perry","11x Diamond","Capitol Records"
210,"Crazy Girl","Eli Young Band","3x Multi-Platinum","the Valory Music Co"
211,"this is Gospel","Panic! at the Disco","2x Multi-Platinum","Fueled by Ramen"
212,"Anyway","Martina Mcbride","Gold","Rca Nashville"
213,"when the Party's over","Billie Eilish","Gold","Darkroom / Interscope Records"
214,"Boy","Lee Brice","Gold","Curb Records"
215,"Play it Again","Luke Bryan","5x Multi-Platinum","Capitol Records Nashville"
216,"Lose Control ","Missy Elliott","2x Multi-Platinum","Atlantic"
217,"Redbone","Childish Gambino","5x Multi-Platinum","Glassnote Entertainment Group Llc"
218,"Country Girl (Shake it for Me)","Luke Bryan","6x Multi-Platinum","Capitol Nashville"
219,"Do i","Luke Bryan","3x Multi-Platinum","Capitol Nashville"
220,"Bohemian Rhapsody","Queen","7x Multi-Platinum","Hollywood Records"
221,"it Was Always you","Maroon 5","Gold","222 Records / Interscope"
222,"Sugar","Maroon 5","8x Multi-Platinum","Interscope"
223,"this Summer's Gonna Hurt Like a Motherf*****r","Maroon 5","1x Platinum","222 Records / Interscope"
224,"Revolution ","Diplo","Gold","Mad Decent Protocol"
225,"Maps","Maroon 5","4x Multi-Platinum","222 Records / Interscope"
226,"Chicken Fried","Zac Brown Band","6x Multi-Platinum","Elektra"
227,"Round Here Buzz","Eric Church","1x Platinum","Emi Records Nashville"
228,"Drunk on a Plane","Dierks Bentley","3x Multi-Platinum","Capitol Records Nashville"
229,"Copycat","Billie Eilish","Gold","Darkroom / Interscope Records"
230,"My Boy","Billie Eilish","Gold","Darkroom / Interscope Records"
231,"Hero","Skillet","2x Multi-Platinum","Atlantic"
232,"Marry you","Bruno Mars","3x Multi-Platinum","Elektra / Atlantic Records"
233,"Don't Smile at Me","Billie Eilish","Gold","Darkroom / Interscope Records"
234,"Talking to the Moon","Bruno Mars","1x Platinum","Elektra / Atlantic Records"
235,"Not Gonna Die","Skillet","Gold","Atlantic Records"
236,"100 ","The Game","1x Platinum","Eone Music"
237,"i Write Sins not Tragedies","Panic! at the Disco","5x Multi-Platinum","Fueled by Ramen"
238,"Photograph","Nickelback","2x Multi-Platinum","Rhino"
239,"Bad Girlfriend","Theory of a Deadman","2x Multi-Platinum","Roadrunner / Atlantic"
240,"all Eyez ","The Game","Gold","Eone Music"
241,"Wishing ","Dj Drama","Gold","Eone Music"
242,"Through the Wire","Kanye West","1x Platinum","Roc Nation / Island Def Jam"
243,"Paradise","Big Sean","1x Platinum","Def Jam"
244,"See you Again ","Wiz Khalifa","10x Diamond","Atlantic Records"
245,"Diamonds from Sierra Leone","Kanye West","1x Platinum","Def Jam"
246,"Gold Digger","Kanye West","7x Multi-Platinum","Def Jam"
247,"Grenade","Bruno Mars","8x Multi-Platinum","Elektra"
248,"Barcelona","Ed Sheeran","Gold","Atlantic Records"
249,"Jackie Chan ","Tiesto","1x Platinum","Casablanca Records / Republic Records"
250,"The a-Team","Ed Sheeran","5x Multi-Platinum","Atlantic Records"
251,"when i Was your Man","Bruno Mars","8x Multi-Platinum","Elektra"
252,"My Songs Know What you Did in the Dark (Light Em Up)","Fall Out Boy","6x Multi-Platinum","Island Records"
253,"Calma","Pedro Capo","2x Multi-Platinum","Sony Latin"
254,"Cry Pretty","Carrie Underwood","Gold","Captiol Nashville"
255,"Painkiller","Three Days Grace","Gold","Rca"
256,"Tip Toe","Jason Derulo","Gold","Warner Bros Records"
257,"Love Me Like you Do","Ellie Goulding","5x Multi-Platinum","Interscope"
258,"Beating Heart (from Divergent)","Ellie Goulding","Gold","Interscope"
259,"Something in the Way you Move","Ellie Goulding","Gold","Interscope"
260,"Starry Eyed","Ellie Goulding","Gold","Cherry Tree / Interscope"
261,"your Song","Ellie Goulding","Gold","Cherry Tree / Interscope"
262,"Anything Could Happen","Ellie Goulding","2x Multi-Platinum","Cherry Tree / Interscope"
263,"On My Mind","Ellie Goulding","2x Multi-Platinum","Cherrytree / Interscope"
264,"Burn","Ellie Goulding","4x Multi-Platinum","Cherrytree / Interscope"
265,"No Brainer ","Dj Khaled","1x Platinum","We the Best / Epic"
266,"Ghost Town","Kanye West","Gold","G.o.o.d Music / Def Jam Recordings"
267,"Barbie Dreams","Nicki Minaj","Gold","Young Money / Cash Money / Republic Records"
268,"Bed","Nicki Minaj","Gold","Young Money / Cash Money / Republic Records"
269,"i Need your Love ","Calvin Harris","2x Multi-Platinum","Columbia"
270,"How Long will i Love you","Ellie Goulding","Gold","Cherry Tree / Interscope"
271,"Hanging on","Ellie Goulding","Gold","Cherry Tree / Interscope"
272,"Lovely ","Billie Eilish","1x Platinum","Darkroom / Interscope Records"
273,"Whatever She's Got","David Nail","2x Multi-Platinum","Mca Nashville"
274,"Alright","Darius Rucker","2x Multi-Platinum","Capitol Nashville"
275,"If i Told you","Darius Rucker","1x Platinum","Capitol Nashville"
276,"Nights on Fire","David Nail","Gold","Mca Nashville"
277,"Dance with the Devil","Breaking Benjamin","Gold","Hollywood Records"
278,"Bigger than you","2 Chainz","Gold","Def Jam"
279,"over you","Miranda Lambert","2x Multi-Platinum","Rca Nashville"
280,"Mama's Broken Heart","Miranda Lambert","3x Multi-Platinum","Rca Nashville"
281,"Automatic","Miranda Lambert","1x Platinum","Rca Nashville"
282,"The House that Built Me","Miranda Lambert","3x Multi-Platinum","Columbia Nashville"
283,"Unforgettable ","French Montana","6x Multi-Platinum","Epic"
284,"Idontwannabeyouanymore","Billie Eilish","Gold","Darkroom / Interscope Records"
285,"Dura","Daddy Yankee","21x Diamond","Universal Music Latino / El Cartel Records"
286,"Hula Hoop","Daddy Yankee","2x Multi-Platinum","Universal Music Latino / El Cartel Records"
287,"Vuelve","Daddy Yankee","10x Diamond","Universal Music Latino / El Cartel Records"
288,"Shaky Shaky","Daddy Yankee","17x Diamond","Universal Music Latino / El Cartel Records"
289,"La Rompe Corazones","Daddy Yankee","17x Diamond","Universal Music Latino / El Cartel Records"
290,"i Smile","Kirk Franklin","1x Platinum","Rca Inspiration"
291,"all Mine","Kanye West","1x Platinum","G.o.o.d Music / Def Jam Recordings"
292,"Girls Like you","Maroon 5","1x Platinum","222 Records / Interscope"
293,"Wait","Maroon 5","1x Platinum","222 Records / Interscope"
294,"Top Off","Dj Khaled","Gold","We the Best / Epic"
295,"Good Day","Nappy Roots","Gold","Nappy Roots Entertainment"
296,"Cold","Maroon 5","1x Platinum","222 Records / Interscope"
297,"Red Lights","Tiesto","1x Platinum","Casablanca / Republic"
298,"Won't Go Home without you","Maroon 5","2x Multi-Platinum","A&m/Octone"
299,"One more Night","Maroon 5","6x Multi-Platinum","222 Records / Interscope"
300,"Love Somebody","Maroon 5","2x Multi-Platinum","222 Records / Interscope"
301,"Daylight","Maroon 5","2x Multi-Platinum","222 Records / Interscope"
302,"Makes Me Wonder","Maroon 5","3x Multi-Platinum","A&m/Octone"
303,"Misery","Maroon 5","2x Multi-Platinum","A&m/Octone"
304,"If i Never See your Face Again","Maroon 5","1x Platinum","222 Records / Interscope"
305,"this Love","Maroon 5","2x Multi-Platinum","A&m/Octone"
306,"Moves Like Jagger","Maroon 5","9x Multi-Platinum","A&m/Octone"
307,"Never Gonna Leave this Bed","Maroon 5","1x Platinum","A&m/Octone"
308,"Payphone","Maroon 5","7x Multi-Platinum","222 Records / Interscope"
309,"Harder to Breathe","Maroon 5","1x Platinum","A&m/Octone"
310,"Wake Up Call","Maroon 5","2x Multi-Platinum","A&m/Octone"
311,"She will be Loved","Maroon 5","4x Multi-Platinum","A&m/Octone"
312,"Sunday Morning","Maroon 5","2x Multi-Platinum","A&m/Octone"
313,"Lucky Strike","Maroon 5","Gold","222 Records / Interscope"
314,"How Would you Feel (Paean)","Ed Sheeran","Gold","Atlantic Records"
315,"Good Feeling","Flo Rida","5x Multi-Platinum","Atlantic"
316,"Ocean Eyes","Billie Eilish","1x Platinum","Darkroom / Interscope Records"
317,"Supermarket Flowers","Ed Sheeran","Gold","Atlantic Records"
318,"New Man","Ed Sheeran","Gold","Atlantic Records"
319,"Castle on the Hill","Ed Sheeran","3x Multi-Platinum","Atlantic Records"
320,"My House","Flo Rida","6x Multi-Platinum","Atlantic Records"
321,"Elevator","Flo Rida","1x Platinum","Atlantic"
322,"What Do i Know","Ed Sheeran","Gold","Atlantic Records"
323,"Whistle","Flo Rida","5x Multi-Platinum","Atlantic Records"
324,"Nancy Mulligan","Ed Sheeran","Gold","Atlantic Records"
325,"Wild Ones","Flo Rida","5x Multi-Platinum","Atlantic Records"
326,"Galway Girl","Ed Sheeran","1x Platinum","Atlantic Records"
327,"Wish i Knew you","The Revivalists","1x Platinum","Razor & Tie"
328,"Dive","Ed Sheeran","1x Platinum","Atlantic Records"
329,"Waiting on the World to Change","John Mayer","3x Multi-Platinum","Columbia"
330,"Slow Dancing in a Burning Room","John Mayer","1x Platinum","Columbia"
331,"Love on the Weekend","John Mayer","Gold","Columbia"
332,"your Body is a Wonderland","John Mayer","2x Multi-Platinum","Columbia"
333,"Who Says","John Mayer","1x Platinum","Columbia"
334,"Half of My Heart","John Mayer","1x Platinum","Columbia"
335,"Who you Love","John Mayer","Gold","Columbia"
336,"Why Georgia","John Mayer","Gold","Columbia"
337,"Dreaming with a Broken Heart","John Mayer","1x Platinum","Columbia"
338,"Gravity","John Mayer","1x Platinum","Columbia"
339,"No Such Thing","John Mayer","Gold","Columbia"
340,"Say","John Mayer","2x Multi-Platinum","Columbia"
341,"Daughters","John Mayer","2x Multi-Platinum","Columbia"
342,"Free Fallin'","John Mayer","2x Multi-Platinum","Columbia"
343,"The Heart of Life","John Mayer","Gold","Columbia"
344,"Hold My Hand","Michael Jackson","Gold","Epic"
345,"Gdfr ","Flo Rida","4x Multi-Platinum","Atlantic Records"
346,"Me Niego ","Reik","10x Diamond","Sony Latin"
347,"Blessings","Big Sean","3x Multi-Platinum","Def Jam"
348,"Proud","2 Chainz","Gold","Def Jam"
349,"Counting Stars","Onerepublic","10x Diamond","Mosley Music  /  Interscope Records"
350,"Blood on the Leaves","Kanye West","1x Platinum","Def Jam"
351,"No more Parties in La","Kanye West","Gold","Def Jam"
352,"Sit Next to Me","Foster the People","1x Platinum","Columbia"
353,"Young Dumb & Broke","Khalid","4x Multi-Platinum","Right Hand Music / Rca"
354,"Location","Khalid","5x Multi-Platinum","Right Hand Music / Rca"
355,"Impatient","Jeremih","1x Platinum","Def Jam"
356,"Gorgeous","Kanye West","Gold","Def Jam"
357,"Bounce Back","Big Sean","4x Multi-Platinum","Def Jam"
358,"Barbie Tingz","Nicki Minaj","Gold","Young Money / Cash Money / Republic Records"
359,"Love Yourself","Justin Bieber","7x Multi-Platinum","Def Jam"
360,"Do i Make you Wanna","Billy Currington","1x Platinum","Mercury Nashville"
361,"Wanted","Hunter Hayes","5x Multi-Platinum","Atlantic Records"
362,"Play No Games","Big Sean","1x Platinum","Def Jam Records"
363,"Need you Now","Lady Antebellum","9x Multi-Platinum","Capitol Records Nashville"
364,"Blue Cheese","2 Chainz","Gold","Def Jam"
365,"S&m","Rihanna","5x Multi-Platinum","Def Jam"
366,"Hey Ma","Cam'ron","Gold","Def Jam"
367,"all the Pretty Girls","Kenny Chesney","Gold","Blue Chair Records / Columbia Nashville"
368,"Noise","Kenny Chesney","Gold","Blue Chair Records / Columbia Nashville"
369,"There Goes My Life","Kenny Chesney","1x Platinum","Bna Records Label"
370,"Come over","Kenny Chesney","2x Multi-Platinum","Blue Chair Records / Columbia Nashville"
371,"Better as a Memory","Kenny Chesney","Gold","Bna Records"
372,"That Don't Sound Like you","Lee Brice","1x Platinum","Curb Records"
373,"Out Last Night","Kenny Chesney","1x Platinum","Bna Records Label"
374,"i Go Back","Kenny Chesney","1x Platinum","Bna Records Label"
375,"She Thinks My Tractor's Sexy","Kenny Chesney","1x Platinum","Bna Records Label"
376,"Pirate Flag","Kenny Chesney","1x Platinum","Blue Chair Records / Columbia Nashville"
377,"American Kids","Kenny Chesney","2x Multi-Platinum","Blue Chair Records / Columbia Nashville"
378,"you and Tequila ","Kenny Chesney","2x Multi-Platinum","Bna Records Label"
379,"Somewhere with you","Kenny Chesney","2x Multi-Platinum","Bna Records"
380,"Young","Kenny Chesney","Gold","Bna Records"
381,"Beer in Mexico","Kenny Chesney","1x Platinum","Bna Records"
382,"No Shoes, No Shirt, No Problems","Kenny Chesney","1x Platinum","Bna Records Label"
383,"Just Fishin'","Trace Adkins","Gold","Show Dog Nashville"
384,"Xo","John Mayer","Gold","Columbia"
385,"Honky Tonk Badonkadonk","Trace Adkins","2x Multi-Platinum","Capitol Nashville"
386,"You're Gonna Miss this","Trace Adkins","2x Multi-Platinum","Capitol Nashville"
387,"Ladies Love Country Boys","Trace Adkins","1x Platinum","Capitol Records Nashville"
388,"Losing Sleep","Chris Young","1x Platinum","Rca Nashville"
389,"The Man i Want to be","Chris Young","1x Platinum","Rca Records Label Nashville"
390,"a Thousand Years","Christina Perri","7x Multi-Platinum","Atlantic Records"
391,"Bellyache","Billie Eilish","Gold","Darkroom / Interscope Records"
392,"Chun-Li","Nicki Minaj","1x Platinum","Young Money / Cash Money / Republic Records"
