,Name,Artist,Features,Streams,Week
62,Love Lies ,"Khalid, Normani, Normani",,2922914,2018-07-20
63,Meant to Be ,Bebe Rexha,Florida Georgia Line,2908737,2018-07-20
64,the remedy for a broken heart (why am I so in love),XXXTENTACION,,2899854,2018-07-20
65,OTW,Khalid,,2846106,2018-07-20
66,Powerglide ,Rae Sremmurd,Juicy J,2745376,2018-07-20
67,Tequila,Dan + Shay,,2724203,2018-07-20
68,Simple,Florida Georgia Line,,2718285,2018-07-20
69,Hope,XXXTENTACION,,2702252,2018-07-20
70,Bigger Than You ,2 Chainz,"Drake, Quavo",2695149,2018-07-20
71,Look At Me!,XXXTENTACION,,2693564,2018-07-20
72,8 Out Of 10,Drake,,2690171,2018-07-20
73,Candy Paint,Post Malone,,2677449,2018-07-20
74,After Dark,Drake,,2671729,2018-07-20
75,Playinwitme ,KYLE,Kehlani,2666719,2018-07-20
76,Survival,Drake,,2661489,2018-07-20
77,Summer Games,Drake,,2586371,2018-07-20
78,The Middle,Zedd,,2585552,2018-07-20
79,XO TOUR Llif3,Lil Uzi Vert,,2574762,2018-07-20
80,Talk Up,Drake,,2533690,2018-07-20
81,ocean eyes,Billie Eilish,,2516951,2018-07-20
82,Feels Like Summer,Childish Gambino,,2472681,2018-07-20
83,Sandra’s Rose,Drake,,2453859,2018-07-20
84,That’s How You Feel,Drake,,2453421,2018-07-20
85,Legends,Juice WRLD,,2427341,2018-07-20
86,Shoota ,Playboi Carti,Lil Uzi Vert,2375556,2018-07-20
87,X - Remix,Nicky Jam,,2353737,2018-07-20
88,Lie,NF,,2313059,2018-07-20
89,Lust,Lil Skies,,2303397,2018-07-20
90,Champion ,NAV,Travis Scott,2297827,2018-07-20
91,Finesse,Drake,,2281272,2018-07-20
92,Drug Addicts,Lil Pump,,2245011,2018-07-20
93,King's Dead ,"Jay Rock, Kendrick Lamar, Future, James Blake, Kendrick Lamar, Future, James Blake",,2225221,2018-07-20
94,Jaded,Drake,,2219760,2018-07-20
95,WIFI LIT,Future,,2215206,2018-07-20
96,Better Not ,Louis The Child,Wafia,2212471,2018-07-20
97,Red Roses ,Lil Skies,Landon Cube,2211452,2018-07-20
98,Lean Wit Me,Juice WRLD,,2197109,2018-07-20
99,Call Out My Name,The Weeknd,,2186630,2018-07-20
100,Yikes,Kanye West,,2184125,2018-07-20
101,Freaky Friday ,Lil Dicky,Chris Brown,2168567,2018-07-20
102,Stay,Post Malone,,2166509,2018-07-20
103,Spoil My Night ,Post Malone,Swae Lee,2165472,2018-07-20
104,New Light,John Mayer,,2154658,2018-07-20
105,Paranoid,Post Malone,,2142698,2018-07-20
106,Real Rich ,Wiz Khalifa,Gucci Mane,2124286,2018-07-20
107,Narcos,Migos,,2119793,2018-07-20
108,Congratulations,Post Malone,,2119606,2018-07-20
109,PICK IT UP ,Famous Dex,A$AP Rocky,2115042,2018-07-20
110,HUMBLE.,Kendrick Lamar,,2111262,2018-07-20
111,I'm a Mess,Bebe Rexha,,2110740,2018-07-20
112,Rich & Sad,Post Malone,,2109492,2018-07-20
113,Nevermind,Dennis Lloyd,,2096324,2018-07-20
114,Sin Pijama,Becky G,,2090623,2018-07-20
115,FRIENDS,Marshmello,,2085167,2018-07-20
116,Life Goes On,Lil Baby,,2081614,2018-07-20
117,Nowadays ,Lil Skies,Landon Cube,2078798,2018-07-20
118,Stir Fry,Migos,,2073993,2018-07-20
119,All The Stars ,"Kendrick Lamar, SZA, SZA",,2071249,2018-07-20
120,NUMB,XXXTENTACION,,2037581,2018-07-20
121,TATI,6ix9ine,,2024337,2018-07-20
122,Roll In Peace ,Kodak Black,XXXTENTACION,2013450,2018-07-20
123,Watch ,Travis Scott,"Lil Uzi Vert, Kanye West",2007394,2018-07-20
124,Heaven,Kane Brown,,1988314,2018-07-20
125,goosebumps,Travis Scott,,1975717,2018-07-20
126,Thunder,Imagine Dragons,,1957374,2018-07-20
127,Havana ,Camila Cabello,Young Thug,1928726,2018-07-20
128,Hot Now,Wiz Khalifa,,1918841,2018-07-20
129,Peak,Drake,,1895004,2018-07-20
130,KOD,J. Cole,,1892443,2018-07-20
131,Young Dumb & Broke,Khalid,,1890253,2018-07-20
132,Enemies,Lauv,,1880850,2018-07-20
133,92 Explorer,Post Malone,,1871160,2018-07-20
134,Bank Account,21 Savage,,1868652,2018-07-20
135,Location,Khalid,,1850645,2018-07-20
136,Who Want The Smoke?,Lil Yachty,,1843143,2018-07-20
137,Be Careful,Cardi B,,1827223,2018-07-20
138,2002,Anne-Marie,,1825009,2018-07-20
139,Esskeetit,Lil Pump,,1824356,2018-07-20
140,Bodak Yellow,Cardi B,,1824115,2018-07-20
141,Believer,Imagine Dragons,,1822850,2018-07-20
142,I Know You ,Lil Skies,Yung Pinch,1804130,2018-07-20
143,Plain Jane,A$AP Ferg,,1788268,2018-07-20
144,Betrayed,Lil Xan,,1785763,2018-07-20
145,Is There More,Drake,,1773708,2018-07-20
146,Connection,OneRepublic,,1769458,2018-07-20
147,Bounce Out With That,YBN Nahmir,,1754975,2018-07-20
148,Reborn,KIDS SEE GHOSTS,,1750632,2018-07-20
149,Self Care,Mac Miller,,1733598,2018-07-20
150,Ratchet Happy Birthday,Drake,,1725991,2018-07-20
151,Millidelphia ,Meek Mill,Swizz Beatz,1719984,2018-07-20
152,Creeping ,Lil Skies,Rich the Kid,1708944,2018-07-20
153,1942,G-Eazy,,1706975,2018-07-20
154,Guatemala - From Swaecation,Rae Sremmurd,,1705301,2018-07-20
155,Outside Today,YoungBoy Never Broke Again,,1702127,2018-07-20
156,I Like Me Better,Lauv,,1689611,2018-07-20
157,1-800-273-8255,Logic,,1677882,2018-07-20
158,You Make It Easy,Jason Aldean,,1668687,2018-07-20
159,If You're Over Me,"Years, Years",,1664340,2018-07-20
160,LOVE. FEAT. ZACARI.,Kendrick Lamar,,1656220,2018-07-20
161,In My Blood,Shawn Mendes,,1655610,2018-07-20
162,BUTTERFLY EFFECT,Travis Scott,,1652040,2018-07-20
163,Shape of You,Ed Sheeran,,1644696,2018-07-20
164,No Es Justo,J Balvin,,1643634,2018-07-20
165,No Limit,G-Eazy,,1631857,2018-07-20
166,Final Fantasy,Drake,,1630644,2018-07-20
167,Africa,Toto,,1610784,2018-07-20
168,Let You Down,NF,,1610492,2018-07-20
169,Unforgettable,French Montana,,1605400,2018-07-20
170,New Freezer ,Rich The Kid,Kendrick Lamar,1599879,2018-07-20
171,Like To Be You feat. Julia Michaels,Shawn Mendes,,1597790,2018-07-20
172,New Rules,Dua Lipa,,1594090,2018-07-20
173,Only You ,"Cheat Codes, Little Mix, Little Mix",,1577548,2018-07-20
174,Jump ,"Julia Michaels, Trippie Redd, Trippie Redd",,1571422,2018-07-20
175,Everyday,Logic,,1571232,2018-07-20
176,Delicate,Taylor Swift,,1562105,2018-07-20
177,Audio,Sia,,1550378,2018-07-20
178,Beautiful Crazy,Luke Combs,,1549970,2018-07-20
179,March 14,Drake,,1548946,2018-07-20
180,Ned Flanders ,MadeinTYO,A$AP Ferg,1546170,2018-07-20
181,IDGAF,Dua Lipa,,1545674,2018-07-20
182,Black & White,Juice WRLD,,1544107,2018-07-20
183,Redbone,Childish Gambino,,1541058,2018-07-20
184,Perfect,Ed Sheeran,,1540804,2018-07-20
185,Over Now,Post Malone,,1536200,2018-07-20
186,Bartier Cardi ,Cardi B,21 Savage,1535050,2018-07-20
187,Revenge,XXXTENTACION,,1533947,2018-07-20
188,Never Be the Same,Camila Cabello,,1529690,2018-07-20
189,MotorSport,Migos,,1528444,2018-07-20
190,idontwannabeyouanymore,Billie Eilish,,1520003,2018-07-20
191,Silence,Marshmello,,1511930,2018-07-20
192,Body Like A Back Road,Sam Hunt,,1507163,2018-07-20
193,I Don't Wanna Do This Anymore,XXXTENTACION,,1507054,2018-07-20
194,One Number Away,Luke Combs,,1503186,2018-07-20
195,Carry On,XXXTENTACION,,1493922,2018-07-20
196,The Way Life Goes ,Lil Uzi Vert,Oh Wonder,1492396,2018-07-20
197,Closer,The Chainsmokers,,1491556,2018-07-20
198,I Get The Bag ,Gucci Mane,Migos,1469642,2018-07-20
199,Chun-Li,Nicki Minaj,,1469135,2018-07-20
200,rockstar,Post Malone,,15268097,2017-11-10
201,Gucci Gang,Lil Pump,,9239147,2017-11-10
202,Too Good At Goodbyes,Sam Smith,,8138285,2017-11-10
203,Havana,Camila Cabello,,8017572,2017-11-10
204,I Fall Apart,Post Malone,,7851950,2017-11-10
205,Bank Account,21 Savage,,6675162,2017-11-10
206,1-800-273-8255,Logic,,6561384,2017-11-10
207,Ghostface Killers,21 Savage,,6006967,2017-11-10
208,What Lovers Do ,Maroon 5,SZA,5972391,2017-11-10
209,Ric Flair Drip (& Metro Boomin),Offset,,5872487,2017-11-10
210,MotorSport,Migos,,5864166,2017-11-10
211,Young Dumb & Broke,Khalid,,5610478,2017-11-10
212,No Limit,G-Eazy,,5597102,2017-11-10
213,Wolves,Selena Gomez,,5571219,2017-11-10
214,Bodak Yellow,Cardi B,,5505005,2017-11-10
215,XO TOUR Llif3,Lil Uzi Vert,,5503022,2017-11-10
216,I Get The Bag ,Gucci Mane,Migos,5165125,2017-11-10
217,Plain Jane,A$AP Ferg,,5136705,2017-11-10
218,Let You Down,NF,,5112123,2017-11-10
219,New Rules,Dua Lipa,,4888191,2017-11-10
220,Congratulations,Post Malone,,4831799,2017-11-10
221,Sorry Not Sorry,Demi Lovato,,4779454,2017-11-10
222,Perfect,Ed Sheeran,,4776109,2017-11-10
223,Silence,Marshmello,,4742766,2017-11-10
224,Candy Paint,Post Malone,,4579008,2017-11-10
225,Call It What You Want,Taylor Swift,,4416506,2017-11-10
226,The Way Life Goes ,Lil Uzi Vert,Oh Wonder,4396053,2017-11-10
227,Bad At Love,Halsey,,4312258,2017-11-10
228,Feel It Still,Portugal. The Man,,4261794,2017-11-10
229,HUMBLE.,Kendrick Lamar,,4251881,2017-11-10
230,Let Me Go ,"Hailee Steinfeld, Alesso, Florida Georgia Line, watt, Alesso, Florida Georgia Line, watt",,4178382,2017-11-10
231,Jocelyn Flores,XXXTENTACION,,4106628,2017-11-10
232,Pray,Sam Smith,,4102723,2017-11-10
233,Unforgettable,French Montana,,4091439,2017-11-10
234,BUTTERFLY EFFECT,Travis Scott,,4057147,2017-11-10
235,Roll In Peace ,Kodak Black,XXXTENTACION,3931671,2017-11-10
236,Meant to Be ,Bebe Rexha,Florida Georgia Line,3862750,2017-11-10
237,goosebumps,Travis Scott,,3770348,2017-11-10
238,How Long,Charlie Puth,,3602120,2017-11-10
239,Fuck Love ,XXXTENTACION,Trippie Redd,3475929,2017-11-10
240,Location,Khalid,,3456869,2017-11-10
241,Drowning ,A Boogie Wit da Hoodie,Kodak Black,3427493,2017-11-10
242,Rake It Up,Yo Gotti,,3421705,2017-11-10
243,Dusk Till Dawn - Radio Edit,ZAYN,,3410235,2017-11-10
244,Slippery ,Migos,Gucci Mane,3343364,2017-11-10
245,Thunder,Imagine Dragons,,3338201,2017-11-10
246,Go Flex,Post Malone,,3190266,2017-11-10
247,Rap Saved Me,21 Savage,,3071292,2017-11-10
248,My Choppa Hate Niggas,21 Savage,,2952469,2017-11-10
249,The Race,Tay-K,,2927575,2017-11-10
250,Stargazing,Kygo,,2925406,2017-11-10
251,Glorious ,Macklemore,Skylar Grey,2879422,2017-11-10
252,Wait,Maroon 5,,2861560,2017-11-10
253,LOVE. FEAT. ZACARI.,Kendrick Lamar,,2770045,2017-11-10
254,Sauce It Up,Lil Uzi Vert,,2733797,2017-11-10
255,Transportin',Kodak Black,,2616786,2017-11-10
256,Burning,Sam Smith,,2572518,2017-11-10
257,Believer,Imagine Dragons,,2562657,2017-11-10
258,Look What You Made Me Do,Taylor Swift,,2485035,2017-11-10
259,Magnolia,Playboi Carti,,2469072,2017-11-10
260,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,,2465569,2017-11-10
261,Mi Gente,J Balvin,,2459157,2017-11-10
262,Lemon,N.E.R.D,,2450165,2017-11-10
263,Betrayed,Lil Xan,,2439863,2017-11-10
264,Pull Up N Wreck (With Metro Boomin),Big Sean,,2434497,2017-11-10
265,Love Galore ,SZA,Travis Scott,2427651,2017-11-10
266,DNA.,Kendrick Lamar,,2427127,2017-11-10
267,Relationship ,Young Thug,Future,2385870,2017-11-10
268,Attention,Charlie Puth,,2381360,2017-11-10
269,I Miss You ,Clean Bandit,Julia Michaels,2380534,2017-11-10
270,White Iverson,Post Malone,,2344253,2017-11-10
271,Mi Gente ,J Balvin,Beyoncé,2340096,2017-11-10
272,Say It First,Sam Smith,,2322592,2017-11-10
273,Nothing Left For You,Sam Smith,,2315731,2017-11-10
274,Rubbin Off The Paint,YBN Nahmir,,2315321,2017-11-10
275,It's A Vibe,2 Chainz,,2306931,2017-11-10
276,Redbone,Childish Gambino,,2303026,2017-11-10
277,Body Like A Back Road,Sam Hunt,,2290688,2017-11-10
278,Questions,Chris Brown,,2285619,2017-11-10
279,Shape of You,Ed Sheeran,,2249686,2017-11-10
280,...Ready For It?,Taylor Swift,,2240488,2017-11-10
281,Good Old Days ,Macklemore,Kesha,2230193,2017-11-10
282,wokeuplikethis*,Playboi Carti,,2219107,2017-11-10
283,One Last Song,Sam Smith,,2200162,2017-11-10
284,Mask Off,Future,,2198443,2017-11-10
285,Losin Control,Russ,,2195282,2017-11-10
286,Pills & Automobiles ,Chris Brown,"Yo Gotti, A Boogie Wit Da Hoodie, Kodak Black",2175803,2017-11-10
287,Gorgeous,Taylor Swift,,2175715,2017-11-10
288,Feels Great ,Cheat Codes,"Fetty Wap, CVBZ",2171925,2017-11-10
289,Slow Hands,Niall Horan,,2162486,2017-11-10
290,Disrespectful,21 Savage,,2124535,2017-11-10
291,Everybody Dies In Their Nightmares,XXXTENTACION,,2117408,2017-11-10
292,Despacito - Remix,Luis Fonsi,,2105784,2017-11-10
293,Nightmare,Offset,,2090847,2017-11-10
294,Patek Water,Future,,2082853,2017-11-10
295,do re mi ,blackbear,Gucci Mane,2071609,2017-11-10
296,What Ifs,Kane Brown,,2067507,2017-11-10
297,The Way Life Goes ,Lil Uzi Vert,"Nicki Minaj, Oh Wonder",2063813,2017-11-10
298,New Freezer ,Rich The Kid,Kendrick Lamar,2053584,2017-11-10
299,Mad Stalkers,21 Savage,,2010320,2017-11-10
300,Strip That Down,Liam Payne,,2009334,2017-11-10
301,Midnight Train,Sam Smith,,2006156,2017-11-10
302,No Peace,Sam Smith,,1956723,2017-11-10
303,Say You Won't Let Go,James Arthur,,1943848,2017-11-10
304,I'm the One ,DJ Khaled,"Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",1940953,2017-11-10
305,HIM,Sam Smith,,1930487,2017-11-10
306,Praying,Kesha,,1923179,2017-11-10
307,Lonely Together ,Avicii,Rita Ora,1920002,2017-11-10
308,Sky Walker ,Miguel,Travis Scott,1898745,2017-11-10
309,Unforgettable,Thomas Rhett,,1898190,2017-11-10
310,Wild Thoughts ,DJ Khaled,"Rihanna, Bryson Tiller",1876666,2017-11-10
311,Too Much To Ask,Niall Horan,,1874724,2017-11-10
312,New,Daya,,1871532,2017-11-10
313,iSpy ,KYLE,Lil Yachty,1868824,2017-11-10
314,What About Us,P!nk,,1864511,2017-11-10
315,Tunnel Vision,Kodak Black,,1863988,2017-11-10
316,"Baby, You Make Me Crazy",Sam Smith,,1855874,2017-11-10
317,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,,1836313,2017-11-10
318,Bounce Back,Big Sean,,1823973,2017-11-10
319,Bad and Boujee ,Migos,Lil Uzi Vert,1822605,2017-11-10
320,I Like Me Better,Lauv,,1815569,2017-11-10
321,Perplexing Pegasus,Rae Sremmurd,,1795905,2017-11-10
322,T-Shirt,Migos,,1767992,2017-11-10
323,That's What I Like,Bruno Mars,,1755279,2017-11-10
324,beibs in the trap,Travis Scott,,1742854,2017-11-10
325,Bedroom Floor,Liam Payne,,1729145,2017-11-10
326,PICK IT UP ,Famous Dex,A$AP Rocky,1725310,2017-11-10
327,Boss,Lil Pump,,1724771,2017-11-10
328,Look At Me!,XXXTENTACION,,1705053,2017-11-10
329,The Weekend,SZA,,1692820,2017-11-10
330,There's Nothing Holdin' Me Back,Shawn Mendes,,1666101,2017-11-10
331,Passionfruit,Drake,,1650564,2017-11-10
332,do re mi,blackbear,,1612031,2017-11-10
333,Crew ,GoldLink,"Brent Faiyaz, Shy Glizzy",1611628,2017-11-10
334,Friends ,"Justin Bieber, BloodPop®, BloodPop®",,1611363,2017-11-10
335,X ,21 Savage,Future,1605483,2017-11-10
336,No Role Modelz,J. Cole,,1601897,2017-11-10
337,Curve ,Gucci Mane,The Weeknd,1601334,2017-11-10
338,Palace,Sam Smith,,1595272,2017-11-10
339,A Different Way ,"DJ Snake, Lauv, Lauv",,1591351,2017-11-10
340,The Thrill Of It All,Sam Smith,,1562349,2017-11-10
341,Swang,Rae Sremmurd,,1557653,2017-11-10
342,Scars,Sam Smith,,1556721,2017-11-10
343,Now Or Never,Halsey,,1535394,2017-11-10
344,Run Up the Racks,21 Savage,,1531667,2017-11-10
345,PRBLMS,6LACK,,1531035,2017-11-10
346,When It Rains It Pours,Luke Combs,,1525668,2017-11-10
347,No Option,Post Malone,,1522037,2017-11-10
348,First Day Out,Tee Grizzley,,1516044,2017-11-10
349,4 AM,2 Chainz,,1510706,2017-11-10
350,Starboy,The Weeknd,,1494957,2017-11-10
351,Undefeated ,A Boogie Wit da Hoodie,21 Savage,1491630,2017-11-10
352,Money Longer,Lil Uzi Vert,,1486040,2017-11-10
353,Something Just Like This,The Chainsmokers,,1482877,2017-11-10
354,Heartache On The Dance Floor,Jon Pardi,,1480049,2017-11-10
355,Closer,The Chainsmokers,,1479309,2017-11-10
356,Still Serving,21 Savage,,1476892,2017-11-10
357,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,,1464756,2017-11-10
358,Myself,NAV,,1463228,2017-11-10
359,Kids in Love ,Kygo,The Night Game,1461880,2017-11-10
360,Caroline,Aminé,,1453895,2017-11-10
361,Portland,Drake,,1447986,2017-11-10
362,Reggaetón Lento (Remix),CNCO,,1441309,2017-11-10
363,Broccoli ,DRAM,Lil Yachty,1436436,2017-11-10
364,Ex Calling,6LACK,,1433302,2017-11-10
365,What They Want,Russ,,1432291,2017-11-10
366,Say A',A Boogie Wit da Hoodie,,1429460,2017-11-10
367,From The D To The A ,Tee Grizzley,Lil Yachty,1416363,2017-11-10
368,D Rose,Lil Pump,,1416131,2017-11-10
369,Feed Me Dope,Future,,1415494,2017-11-10
370,Feels,Calvin Harris,,1410106,2017-11-10
371,Darth Vader,21 Savage,,1408583,2017-11-10
372,No Complaints,Metro Boomin,,1402845,2017-11-10
373,Fake Love,Drake,,1397687,2017-11-10
374,One Day At A Time,Sam Smith,,1393947,2017-11-10
375,Don't,Bryson Tiller,,1391117,2017-11-10
376,In Case You Didn't Know,Brett Young,,1386926,2017-11-10
377,Stay ,"Zedd, Alessia Cara, Alessia Cara",,1386064,2017-11-10
378,Both ,Gucci Mane,Drake,1385775,2017-11-10
379,Exchange,Bryson Tiller,,1385694,2017-11-10
380,Craving You,Thomas Rhett,,1379308,2017-11-10
381,Issues,Julia Michaels,,1368602,2017-11-10
382,Everyday We Lit ,YFN Lucci,PnB Rock,1367500,2017-11-10
383,pick up the phone,Young Thug,,1366351,2017-11-10
384,Losing Sleep,Chris Young,,1363387,2017-11-10
385,Again,Noah Cyrus,,1357531,2017-11-10
386,Love Scars,Trippie Redd,,1354606,2017-11-10
387,Small Town Boy,Dustin Lynch,,1351359,2017-11-10
388,Greatest Love Story,LANCO,,1343063,2017-11-10
389,Flex Like Ouu,Lil Pump,,1341244,2017-11-10
390,No Problem ,Chance the Rapper,"Lil Wayne, 2 Chainz",1340924,2017-11-10
391,Saved,Khalid,,1339286,2017-11-10
392,No Promises ,Cheat Codes,Demi Lovato,1333373,2017-11-10
393,8TEEN,Khalid,,1329710,2017-11-10
394,Most Girls,Hailee Steinfeld,,1327809,2017-11-10
395,Easy Love,Lauv,,1317164,2017-11-10
396,Love U Better ,Ty Dolla $ign,"Lil Wayne, The-Dream",1312493,2017-11-10
397,Die For You,The Weeknd,,1307710,2017-11-10
398,Horses ,"PnB Rock, PnB Rock, Kodak Black, A Boogie Wit da Hoodie, PnB Rock, Kodak Black, A Boogie Wit da Hoodie",,1307206,2017-11-10
399,Bank Account,21 Savage,,8301827,2017-08-25
400,Unforgettable,French Montana,,7576557,2017-08-25
401,XO TOUR Llif3,Lil Uzi Vert,,7485131,2017-08-25
402,Friends ,"Justin Bieber, BloodPop®, BloodPop®",,6659321,2017-08-25
403,Bodak Yellow,Cardi B,,6513115,2017-08-25
404,Wild Thoughts ,DJ Khaled,"Rihanna, Bryson Tiller",6389498,2017-08-25
405,Despacito - Remix,Luis Fonsi,,6043987,2017-08-25
406,HUMBLE.,Kendrick Lamar,,6017924,2017-08-25
407,Sorry Not Sorry,Demi Lovato,,5765110,2017-08-25
408,Young Dumb & Broke,Khalid,,5597303,2017-08-25
409,Mi Gente,J Balvin,,5552505,2017-08-25
410,Silence,Marshmello,,5276220,2017-08-25
411,I'm the One ,DJ Khaled,"Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",5237680,2017-08-25
412,BUTTERFLY EFFECT,Travis Scott,,5224118,2017-08-25
413,Congratulations,Post Malone,,5185408,2017-08-25
414,1-800-273-8255,Logic,,5115286,2017-08-25
415,Feels,Calvin Harris,,4927435,2017-08-25
416,Strip That Down,Liam Payne,,4844877,2017-08-25
417,Location,Khalid,,4470437,2017-08-25
418,Feel It Still,Portugal. The Man,,4399374,2017-08-25
419,Attention,Charlie Puth,,4236220,2017-08-25
420,Havana,Camila Cabello,,4172544,2017-08-25
421,Praying,Kesha,,4098050,2017-08-25
422,Love Galore ,SZA,Travis Scott,4066925,2017-08-25
423,Slippery ,Migos,Gucci Mane,4032481,2017-08-25
424,Redbone,Childish Gambino,,4002733,2017-08-25
425,New Rules,Dua Lipa,,3992920,2017-08-25
426,Back to You ,Louis Tomlinson,"Bebe Rexha, Digital Farm Animals",3964157,2017-08-25
427,Magnolia,Playboi Carti,,3917163,2017-08-25
428,Believer,Imagine Dragons,,3849744,2017-08-25
429,goosebumps,Travis Scott,,3848449,2017-08-25
430,DNA.,Kendrick Lamar,,3810500,2017-08-25
431,Rake It Up,Yo Gotti,,3651445,2017-08-25
432,Glorious ,Macklemore,Skylar Grey,3642746,2017-08-25
433,I Get The Bag ,Gucci Mane,Migos,3592899,2017-08-25
434,Body Like A Back Road,Sam Hunt,,3559469,2017-08-25
435,Slow Hands,Niall Horan,,3517011,2017-08-25
436,Thunder,Imagine Dragons,,3463243,2017-08-25
437,I Like Me Better,Lauv,,3446024,2017-08-25
438,2U ,David Guetta,Justin Bieber,3383742,2017-08-25
439,Mask Off,Future,,3371962,2017-08-25
440,Fetish ,Selena Gomez,Gucci Mane,3349387,2017-08-25
441,It's A Vibe,2 Chainz,,3332290,2017-08-25
442,There's Nothing Holdin' Me Back,Shawn Mendes,,3292079,2017-08-25
443,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,,3240538,2017-08-25
444,Drowning ,A Boogie Wit da Hoodie,Kodak Black,3201716,2017-08-25
445,That's What I Like,Bruno Mars,,3190198,2017-08-25
446,Perplexing Pegasus,Rae Sremmurd,,3173299,2017-08-25
447,LOVE. FEAT. ZACARI.,Kendrick Lamar,,3169821,2017-08-25
448,Shape of You,Ed Sheeran,,3058291,2017-08-25
449,Slide,Calvin Harris,,2826887,2017-08-25
450,Would You Ever,Skrillex,,2693488,2017-08-25
451,4 AM,2 Chainz,,2660105,2017-08-25
452,Lonely Together ,Avicii,Rita Ora,2600029,2017-08-25
453,Signs,Drake,,2549049,2017-08-25
